Name, City, Country, Date, Style, Function, Latitude, Longitude,Photo,Attribution
Palacio de la Moneda,Santiago de Chile,Chile,1784, Neoclásico, sede del presidente de la República,-33.4429091,-70.6538699,la_moneda.jpg,"<a href=""https://en.wikipedia.org/wiki/Casa_Rosada#/media/File:Casa_Rosada_exterior_from_Plaza_de_Mayo.JPG""Miguel hernandez</a>, CC BY-SA 2.0, via Wikimedia Commons "
Casa Rosada, Buenos Aires, Argentina,1873, Italianizante-eclectico, sede del presidente de la República,-34.6080556,-58.3724665,casa_rosada.JPG,"<a href=""https://commons.wikimedia.org/wiki/File:Casa_Rosada_exterior_from_Plaza_de_Mayo.JPG"">Lars Curfs</a>, CC BY-SA 3.0 NL, via Wikimedia Commons"
Palacio Estévez, Montevideo, Uruguay,1873, Neoclásico, sede del Poder Ejecutivo,-34.907236,-56.2005253,,
Palacio de los López, Asunción, Paraguay," 	1857", Neoclásico, sede del Poder Ejecutivo y del presidente de la República,-25.277636,-57.637569,,
Palácio do Planalto, Brasilia, Brazil,1958, Modernista, sede del Poder Ejecutivo,-15.798999,-47.860834,,
Palacio Quemado, La Paz, Bolivia,1846, Beaux Arts, sede del Poder Ejecutivo y del presidente del Estado Plurinacional,-16.495833,-68.133611,,
Palacio de Gobierno, Lima, Perú,1937, Neobarroco, sede del Poder Ejecutivo y del presidente de la República,-12.04514,-77.02989,,
Palacio de Miraflores, Caracas, Venezuela,1884, Neoclásico, sede del presidente de la República,10.508088,-66.919359,,
Palacio de Nariño, Bogotá, Colombia,1906, Neoclásico, sede del presidente de la República,4.595556,-74.0775,,
Gouvernementsgebouw, Paramaribo, Suriname,1730, Barroco, sede del presidente de la República,5.826814,-55.151272,,
Palacio de Carondelet, Quito, Ecuador,1790, Barroco, sede del Poder Ejecutivo y del presidente de la República,-0.219716,-78.5147961,,
State House, Georgetown, Guyana,1858, Italianizante-eclectico, sede del presidente de la República,6.817778,-58.162778,,
Casa Presidencial de Trinidad y Tobago,  Puerto España, Trinidad y Tobago,1876, Italianizante-eclectico, sede del presidente de la República,10.677646,-61.511979,,
Hôtel de préfecture, Cayenne, Guayana Francesa,1749, Neoclásico, Sede de la Prefectura de la Guayana Francesa,4.9375,-52.3322,,
