Name, City, Country, Date, Style, Function, Latitude, Longitude,Photo,Attribution
Palacio de la Moneda,Santiago de Chile,Chile,1784, Neoclásico, sede del presidente de la República,-33.4429091,-70.6538699,la_moneda.jpg,"Miguel hernandez, CC BY-SA 2.0, via Wikimedia Commons "
Casa Rosada, Buenos Aires, Argentina,1873, Italianizante-eclectico, sede del presidente de la República,-34.6080556,-58.3724665,casa_rosada.JPG,"Lars Curfs, CC BY-SA 3.0 NL, via Wikimedia Commons"
Torre Ejecutiva, Montevideo, Uruguay,2009,Moderno, sede del Poder Ejecutivo,-34.907306,-56.200022,torre_ejecutiva.jpg,"Marcelo Campi from MVD, Uruguay, CC BY-SA 2.0, via Wikimedia Commons"
Palacio de los López, Asunción, Paraguay,1857, Neoclásico, sede del Poder Ejecutivo y del presidente de la República,-25.277636,-57.637569,Palacio_de_los_Lopez.jpg,"Globevisions , CC BY 2.0, via Wikimedia Commons"
Palácio do Planalto, Brasilia, Brazil,1958, Modernista, sede del Poder Ejecutivo,-15.798999,-47.860834,planalto.jpg,"Senado Federal, CC BY 2.0, via Wikimedia Commons"
Casa Grande del Pueblo, La Paz, Bolivia,2018,Moderno, sede del Poder Ejecutivo y del presidente del Estado Plurinacional,-16.496677,-68.133875,casa_grande_del_pueblo.jpg,"Fernando6718, CC BY-SA 4.0, via Wikimedia Commons"
Palacio de Gobierno, Lima, Perú,1937, Neobarroco, sede del Poder Ejecutivo y del presidente de la República,-12.04514,-77.02989,PalacioEjecutivodelPeru.jpg,"fortes, CC BY-SA 2.0, via Wikimedia Commons"
Palacio de Miraflores, Caracas, Venezuela,1884, Neoclásico, sede del presidente de la República,10.508088,-66.919359,Miraflores_Palace.png,"Prensa Presidencial - Government of Venezuela, CC BY 3.0 , via Wikimedia Commons"
Palacio de Nariño, Bogotá, Colombia,1906, Neoclásico, sede del presidente de la República,4.595556,-74.0775,casa-narino.jpg,"Juanjo70000, CC BY-SA 4.0, via Wikimedia Commons"
Gouvernementsgebouw, Paramaribo, Suriname,1730, Barroco, sede del presidente de la República,5.826814,-55.151272,Presidential_palace_Suriname.jpg,"Ian Mackenzie from Ottawa, Canada, CC BY 2.0, via Wikimedia Commons"
Palacio de Carondelet, Quito, Ecuador,1790, Barroco, sede del Poder Ejecutivo y del presidente de la República,-0.219716,-78.5147961,palacio_de_carondelet.JPG,"MartínGonzález 2396, CC BY-SA 4.0, via Wikimedia Commons"
State House, Georgetown, Guyana,1858, Italianizante-eclectico, sede del presidente de la República,6.817778,-58.162778,state-house.png,National Trust of Guyana
Casa Presidencial de Trinidad y Tobago,  Puerto España, Trinidad y Tobago,1876, Italianizante-eclectico, sede del presidente de la República,10.677646,-61.511979,The_Presidents_House_Trinidad.jpg,"De Albert Sydney - OTRS 2013021310007351, CC BY-SA 3.0, via Wikimedia Commons"
Hôtel de préfecture, Cayenne, Guayana Francesa,1749, Neoclásico, Sede de la Prefectura de la Guayana Francesa,4.9375,-52.3322,Prefecture.JPG,"Original uploaded on Wikipedia by Didwin, transferred to Wikimedia Commons by Bloody-libu, CC BY-SA 2.5"
